,Air,Airplane,Alien,Axe,Baby,Beer,Bicycle,Bird,Blood,Book,Bowl,Brain,Butter,Cage,Camera,Car,Castle,Cat,Chain,Chainsaw,Church,Cloud,Cockroach,Community,Computer,Cross,Cup,Death,Devil,Diamond,Dragon,Duck,Dynamite,Electricity,Fence,Film,Fire,Fish,Gold,Grass,Guitar,Gun,Heart,Helicopter,Home,King,Laser,Law,Lightning,Man,Math,Medusa,Money,Monkey,Moon,Mountain,Noise,Nuke,Paper,Peace,Pit,Planet,Platimum,Poison,Police,Porcupine,Power,Prayer,Prince,Princess,Queen,Quicksand,Rain,Rainbow,Robot,Rock,Satan,School,Scissors,Sky,Snake,Spider,Sponge,Sun,Sword,T.V.,Tank,Toilet,Tornado,Train,Tree,Turnip,U.F.O.,Vampire,Video Game,Vulture,Wall,Water,Whip,Wolf,Woman
Bowl,,,shapes,,,-ing inspires,,,,,,,,rattles,lensed,,,,holds,splashes,,,,,,,bigger than,blessing transcends,blesses,holds,drowns,,splashes,focuses,sits on,,snuffs out,,made of,,,splashes,holds,shaped,,,reflects,knows no,focuses,,parabolic,drowns,,,,holds food,,encases core of,,,emerges from well,,made of,holds,,,focuses,blesses,,,,floats on,catches,reflects,splashes,made of,blesses,-ing after,splashes,shaped,,,,focuses,splashes,sits on,turreted,,shaped,,,,shapes,,-ing,,smashes against,holds,resists,,
Brain,cleans,invents,outsmarts,,,brews,,,,writes,invents,,invents,,,,,,,,builds,names,,builds,,envisions,invents,,invents,desires,concocts,,invents,conducts,builds,directs,,,desires,landscapes,learns,,regulates,invents,,,invents,,harnesses,,performs,foils,desires,,travels to,conquers,,invents,writes,,,discovers,desires,,,,-,writes,,,,,adapts to,replicates,invents,,invents,,,conquers,,,like,,,invents,invents,invents,,,,,perceives,foils,designs,,,refines,,,
Butter,aroma fills,helps make the food on,trips,,,ruins,,,,stains,fills,,,,,,,,greases,,,aroma,,,,,fills,,disgusts,smears,disgusts,,coats,before,stains,stains,,,smears,flavors,greases,greases,bad for,greases,,,smears,stains,survives,,accounts use,trips,,,color of,popcorn,,greases,stains,,fills hunger,used across,smears,,,,flavor,answers,,,,floats on,resists,grease,trips,,disgusts,,,in your eye; smears your view of,,,,,,smears,greases,ends up in,taste,,,,smears,,ruins,,,resists,greases,,
Cage,stagnates,structure in,,not affected by,traps,,contains,traps,boils,has no,,traps,has no,,,(rollcage) protects,more fortified than,traps,,,saddens,has no,traps,protects,contains,makes you,,,,,,traps,,,,has no,,traps,,has no,has no,,,,becomes,traps,,,,imprisons,,,costs,traps,blocks the light of,,door makes,,has no,keeps,,teaches,,,traps,traps,,,traps,traps,traps,,,,,,,,,,traps,traps,knows no,,,,,has poor,,structure in,blocks,contains,,traps,,traps,,,,traps,imprisons
Camera,,captures,,captures,captures,,captures,captures,captures,outclasses,,captures,captures,captures,,captures,captures,captures,,captures,captures,captures,captures,captures,downloads onto,captures,,,,,,captures,,,,,captures,captures,,,,,,,captures,captures,,,,captures,,,costs,captures,captures,,makes,,pictures use,captures,,,,captures,captures,captures,,,captures,captures,captures,,,,,,,captures,captures,,captures,captures,captures,,,,,,,captures,captures,captures,,captures,,captures,,,,captures,captures
Car,pollutes,to,intrigues,,,has space in the boot for,faster than,hits,,glovebox holds,carries,requires,sexier than,,,,,hits,,,cozier than,creates,houses,congests,,travels a-,has holder for,,amuses,pricier than,outruns,hits,,,wrecks,in,,carries,pricier than,destroys,radio plays,,,,,,,,,,is designed using,,costs,,reflects,climbs,makes,,glovebox holds,,,travels,pricier than,,,,,inspires,,,,,drives in,reflects,,,amuses,,,,,houses,is money,,,can have,,has no,,,hits,carries,attracts,outruns,in,,,coolant is,,scares,
Castle,displaces,pricier than,,,houses,has,pricier than,houses,costs,in,contains,intimidates,contains,,,pricier than,,houses,,,taller than,in the,houses,towers over,,taller than,contains,,,,,contains,,,,in,,contains,,grounds have,contains,,,,outclasses,houses,,,,towers over,,,costs,houses,blocks,,echoes,,in,,,on,,,enlists,protects,,,houses,houses,houses,,blocks,,,,,,,,houses,houses,is money,,,,,has,,pricier than,taller than,contains,,houses,,attracts,,,,protects,towers over
Cat,breathes,rides on,allergy kills,,,drinks,,chases,,rips up,drinks from,has,licks,,,,,,,,disrupts,creates dust,eats,amuses,,acts,knocks over,,recognizes,plays with,outruns,,,9 lives despite,atop,on,,eats,colored,in,gut strings on,,has,,,,chases,,9 lives despite,,doesn't need,outruns,steals,,hunts by,lives on,,,rips up,,,lives on,colored,,,,has spiritual,in,,,,,hates,looks at,outruns,,recognizes,,,,,eats,plays with,,,sleeps on,,doesn't use,,,,,hides from,entertains,hair ruins,,,drinks,,,
Chain,,,,nicks,restrains,,locks,crushes,constricts,,,puzzles,,locks,holds down,holds back,locks,restrains ,,holds down,,,crushes,protects,smashes,holds,,chokes for,,,,crushes,,,,,resists,smooshes,,,,holds down,,,locks,restrains,,guards,,restrains,,,costs,restrains,,,clinks,,,keeps,,,,immune to,restrains,restrains,,,restrains,restrains,restrains,,,,,pins down,,locks,dulls,,stronger than,crushes,,reflects,nicks,,,,,holds back,around,protects,,,,restrains,protects,,outclasses,restrains,restrains
Chainsaw,,terrorizes,,outclasses,scares,,destroys,scares,splatters,tears up,,burns,splatters,cuts through,,destroys,ruins,wounds,,,terrorizes,produces,dices,makes way for,gleefully ravages,chops down,,,,,,kills,,,,massacre,,splatters,,cuts,,,,,destroys,wounds,,,,wounds,,,costs,kills,protects from werewolves in a full,,makes,,tears up,disturbs,,,,more direct than,wounds,kills,,,wounds,wounds,wounds,,,,,,,destroys,outclasses,,chops up,slices,cuts up,,,,,,,holds up,cuts down,dices,,beheads,,kills,,,,wounds,wounds
Church,clears the,blesses,disbelieves,,,frowns on,,,,teaches,has,,blesses,,,,,,binds like,,,dispells,,,,,worships with,,renounces,collects,hunts,,survives,uses,has,bans,,,collects,sits on,bans,bans,heals,bans,,,bans,creates,attracts,,accounts use,hunts,,,blocks,atop,,bans,program,,threatens,across,collects,,,,has healing,in,,,,too big for,blocks,blocks,frowns on,,renounces,,,lights up,,,,,,on,bans,has,survives,,,,disbelieves,,bans,,,blesses,,,
Cloud,made of,diverts,blocks ships of,,,rains in,,,,,rains in,,,,,,,,makes rain to rust,,,,,,,,rains in,indicates,indicates,over,over,,rains on,conducts,over,ruins,,,over,over,adorns,too far for,metaphorically rains on,over,,,not affected by,knows no,brings,,has no concept of,over,,,blocks,over,,diverts,,,over,covers,over,,,,disrupts solar,despite,,,,over,produces,blocks,over,over,indicates,,,decorates,,,,,over,on,over,surrounds,becomes,,,,blocks,,in,,,contains,over,,
Cockroach,in,behind,crawls across,,,hides in,,,,nests in,breathes,creeps into,amuses,,,,,,,,nests in,crawls across,,creeps into,,creeps into,lives on,,crawls across,lives on,despite,,,doesn't need,crawls across,creeps into,,,eats eggs of,swarms like,hides in,,nests in,survives,,,hides from,,crawls over,,makes man a,has,has,,nests between,stows away with,,amuses,creeps into,,,nests in,amuses,,,,hides from,unaware of,,,,,hides under,doesn't mind,crawls over,,stows away with,,,has survival,,,crawls up,,,in your,too numerous for,nocturnal with,,,,,drinks,annoys,crawls across,,,crawls into,,,
Community,pollutes,finances,hunts,,,drinks,,,,library,uses,,eats,,,,,,,,builds,population,,,,gathers by,uses,,rebukes,possesses,hunts,,uses,uses,builds,produces,,,possesses,gathers in,plays,,has,funds,,,uses,,survives,,census uses,hunts,makes,,gathers by,lives on,,bans,news-,,,populates,possesses,,,,uses,in,,,,,adapts to,looks at,uses,,rebukes,,,pollutes,,,uses,,,watches,funds,uses,survives,,,,spots,hunts,plays,,,pollutes,,,
Computer,measures,guides,,,prevents,inspires,designs,depicts,boils,writes,pricier than,tires,sexier than,,,enhances,depicts,depicts,,,accounts for,depicts,houses,shrinks,,depicts,pricier than,,,,,depicts,,,,downloads,,screensaver,,depicts,downloads,,,,in every,confuses,,,,confuses,,,costs,enrages,depicts,,makes,,kills,,,shrinks,,,aids,depicts,,,confuses,confuses,confuses,,,,,,,,,,depicts,houses,is time,,,,,is,,controls,depicts,turns brain into,,attracts,,attracts,,,,depicts,confuses
Cross,winds move,blesses,doesn't interest,,,adorns,,,,on good,blesses,,impales,,,,,,,,atop,clears,,,,,on holy,,denounces,jewelry holds,denounces,,fingers before,conducts,tears down,on,,,made of,erected in,blesses,,your,blesses,,,reflects,,attracts,,adds for,thwarts,costs,,tracks on,atop,,bans,drawn on,,,blesses,made of,,,,represents,in,,,,above,winds bring,reflects,section diagram of,,denounces,,,lights up,,,impales,,,hangs over,blesses,blesses,fingers before,,,,doesn't interest,thwarts,platform,,,blesses holy,,,
Cup,,,shaped,splashes,,holds,,,,,,,,rattles,lensed,,,,holds,splashes,,,,,,,,toasts,blesses,holds,attracts,,ears for,conducts,sits on,,splashes,,made of,,,splashes,hand over,ears for,,,reflects,toasts,focuses,,for winning a tournament in,attracts,,,,for climbing,,shaped,,,shaped,,made of,holds,,,holds holy,accompanies,,,,floats on,catches,reflects,splashes,made of,blesses,for,splashes,reflects,,,,reflects,commands,sits on,ears for,,ears for,,,,shaped,,splashes,,smashes against,holds,ears for,,
Death,,,,carries,claims,,crashes,claims,cools,crumbles,,claims,spoils,inside,ruins,crashes,crumbles,claims,,dismantles,saddens,,claims,saddens,crashes,on the,,,,,,claims,,,,,cools,claims,,,,,,,saddens,claims,,,,claims,,,(funeral) costs,claims,,,rattle,,crumbles,- rest in,,,,is the result of,claims,claims,,,claims,claims,claims,,,,,,,saddens,not caused by,,claims,claims,dries,claims,,,,,,stops,claims,claims,,eludes,,feeds,knows no,,,claims,claims
Devil,,,,weilds,possesses,,,,poisons,,,,,escapes,blurs,,has,,breaks,weilds,,,,,hacks,,,after,,,,,lights,cuts,hops,,commands,,,,,inspires,darkens,crashes,,tempts,rewires,breaks,brings,,quizzes,commands,,burns,,,,inspires,,disturbs,hides in,,,uses,evades,sharper than,has,,tempts,tempts,tempts,lures into,,,glitches,hurls,,skips,resists,darkens,eats,,,curses,weilds,,drives,,commands,,,,,,inspires,is soul,in the,,cracks,,possesses
Diamond,,,,engraves,,,,,outlasts,,,,,engraves,pricier than,,decorates,,harder than,resists,,,,,pricier than,,,'till,imprisons,,,,survives,withstands,harder than,,resists,,pricier than,,,resists,wins,engraves,,adorns,diffracts,bribes,withstands,,geometric,enthralls,,hypnotizes,,,,survives,,disturbs,hides in,,pricier than,resists,,sharper than,focuses,,adorns,adorns,adorns,hides in,,,pricier than,hardest,,more desirable than,engraves,with lucy in,charms,,,catches,engraves,,harder than,,survives,,,,,,pricier than,attracts,engraves,,resists,,
Dragon,,,,resists,,,,,spills,,,,,escapes,before,,terrorizes,,breaks,before,,,,,before,,,causes,commands,hoards,,,before,conducts,flies over,,breathes,,hoards,,,resists,-,before,,angers,before,knows no,breathes,,doesn't use,torches,,torches,,,,before,,disturbs,escapes,,hoards,breath is,,outclasses,has,,eats,,angers,too big for,,,torches,atop,,torches,resists,flies across,bigger than,,,flies across,resists,,before,,flies over,,,,,,in,torches,flies over,,torches,,
Duck,breathes,blocks,hides from,,,drinks,,larger than,,recipe,tips over,has,eats,,,,,intimidates,,,disrupts,flies in,eats,feeds,,acts,tips over,,doesn't interest,swallows,at the Golden,,,on wire despite,flies over,on,,eats,lays egg of,nests in,ruins,,has,,,,,,hides from,,doesn't need,bites,costs,,looks at,flies over,,,carries off,,,lives on,swallows,,,,,answers,,,,,loves,looks at,flies over,,doesn't interest,,,,,eats,eats,,,on,,goes everyhere but,,,,,hides from,disgusts,hunt,,,drinks,,flies from,
Dynamite,,,,explodes,explodes,,explodes,explodes,spills,,,,,explodes,explodes,explodes,explodes,explodes,explodes,explodes,,,explodes,,explodes,,,causes,,,,explodes,,,,,starts,explodes,,,,outclasses,,,explodes,explodes,,breaks,,explodes,,,,explodes,,,makes,,,disturbs,creates,,,explodes,explodes,explodes,,,explodes,explodes,explodes,clears,,,,explodes,,explodes,explodes,,explodes,explodes,,smoke blots out,explodes,,,,outclasses,explodes,explodes,explodes,,,,explodes,explodes,,explodes,explodes,explodes
Electricity,,,,charges,electrocutes,,charges,,fries,,,,,charges,powers,short-circuits,bills,,starts a reaction,short-circuits,,,,,short-circuits,,,causes,,,,,natural,,,,starts,,,,,charges,,short-circuits,bills,electrocutes,powers,has physical,produces,electrocutes,,fries,,electrocutes,,,makes,short-circuits,,disturbs,brightens,,,mixes,electrocutes,fries,produces,,electrocutes,electrocutes,electrocutes,charges,,,,powers,,bills,charges,charges,in cable,,,replicates,charges,,short-circuits,,envelops,short-circuits,,,,,,repels,in,,fries,,electrocutes
Fence,,,,resists,around,,,,guards banks of,,,,,surrounds,confuses,,around,,made of,guards,,,,,around,,,guards from,,,,,guards,uses,,,surrounds,,,,,guards,saddens,guards,,around,blocks,breaks zoning,attracts,around,height,blocks,,blocks,,,,guards,,protects,around,,,resists,blocks,blocks,around,,around,around,around,above,,,blocks,made of,,around,resists,blocks,blocks,,,blocks,resists,,blocks,,survives,,,,,,guards,blocks,forms,,resists,,around
Film,developer spoils,,about,,,inspires,,,,,covers super,,,,fills,,,,shots are edited into a,,,,,,,,covers world,glorifies,about,about,about,,effects use,teaches,projected on,,captures,,pricier than,,score uses,rents,has,rents,,,on BlueRay uses,about,about,,teaches,features,,,,set on,,depicts,,,is the,entertains,pricier than,,,,grants,disrupts,,,,scene with,- singing in,has technicolor,about,starring the,about,,,earnings as high as,,,,production prefers,hero uses,before,rents,in the can; but not,about,,,,about,,based on,,projected on,coats,hero uses,,
Fire,,consumes,,melts,burns,,burns,cooks,boils,burns,,burns,melts,melts,,burns,burns,burns,,melts,burns,creates smoke,burns,threatens,burns,burns,,,,,,cooks,,,,,,cooks,,burns,,,,,burns,burns,,,,burns,,,burns,burns,(campfire) in the light of the,,crackling,,burns,breaks,,,,boils,burns,burns,,,burns,burns,burns,,,,,,,destroys,melts,,burns,burns,burns,,,,,,,burns,burns down,cooks,,thwarts,,burns,,,,burns,burns
Fish,breathes occasional,feeds,intrigues,,,drinks,,,,recipe,lives in,has,in,,,,,,,,feeds,makes undersea,eats,feeds,,thrown at,swims in,,unaware of,eyes like,unaware of,,,dives from,swims under,on,,,colored,in sea,soaks,,has,,,,dodges,,dives from,,doesn't need,disgusts,costs,,unaware of,in a lake by a,,dodges torpedo,soaks,,,lives on,colored,,,,has spiritual,answers,,,,,unaware of,(trout) has scales that look like,unaware of,,unaware of,,,unaware of,,eats,swims over,,,on,,doesn't use,,,,,hides from,amuses,in,,,breathes,,,
Gold,,,,plated,,,,,outlasts,,,,,plated,pricier than,,funds,,-,resists,,,,,wired,,,outlasts,tempts,,,,survives,conducts,funds,,resists,,,,,plated,wins,funds,,adorns,wired,bribes,conducts,,market uses,enthralls,,hypnotizes,,,,wired,,disturbs,hides in,,,resists,badged,harder than,conducts,,adorns,adorns,adorns,hides in,,,plated,rarer than,,more desirable than,plated,reflects,charms,,,reflects,decorates,,funds,,survives,,,,,,pricier than,attracts,plated,,resists,,enthralls
Grass,produces,,isn't food for,,,stronger than,,,,,fills,,,,blurry in,,,,hides,,,,,,,,hides,annual despite,inspires worship of,hides,isn't food for,,survives,conducts,overgrows,blurry in,,,hides,,inspires,hides,speeds up,too rough for,,,too widespread for,breaks,survives,,unlocks,is greener than,,,,grows on,,field full of protesters against,,,hides,covers,hides,,,,brings flower,more visceral than,,,,hides,loves,dew droplets make little,turns you into,overgrows,inspires,,,releases pollen into,,,,prefers moderate,hides,inspires,gives cover from,becomes,survives,,,,provides landing area for,,inspires,,overgrows,drinks,constructs,,
Guitar,,,intrigues,,,inspires,,,,,at hollywood,,,,pricier than,,,,breaks,sounds like,,,,,,,fills donation,song about,invokes,shines like,subdues,,rallies against,uses,heard over,,on,,album goes,,,rallies against,played with,rallies against,,,concert uses,breaks,fingered like,,notes use,hypnotizes,,,,echoes across,,rallies against,,,echoes,,album goes,is ear,,,solo super,accompanies,,,,floats in,notes like,song about,confuses,plays,invokes,distracts,strings resists,echoes across,,,,reflects,stays,on,rallies against,,cheers,,,,group,,sountracks,,echoes off,echoes across,accompanies,,
Gun,,,,outclasses,shoots,,shoots,shoots,spills,,,splatters,,shoots through,shoots at,hijacks,fires into,shoots,,outclasses,,,shoots,threatens,shoots,shoots the target,,causes,,,,shoots ,,,,,uses,shoots,,,,,,,protects,shoots,,breaks,,shoots,,,robs,shoots,,,makes,,,disturbs,,,,deadlier than,shoots,shoots,,,shoots,shoots,shoots,,,,,targets,,closes,outclasses,,shoots ,shoots,,shoots at,outclasses,,,,,holds up,targets,blasts apart,,uses a silver bullet to shoot,,shoots,targets,,outclasses,shoots,shoots
Heart,,,,stays,protects,,,,pumps,,,,,transcends,guides,invents eco,builds,,my un-,bans,,,,,excels at,,,transcends,,,,,bans,uses bio,,,on,,,,,bans,,soars like,builds,guides,surgery with,upholds,survives,guides,,pities,,guides,,,makes,bans,,upholds,survives,,,bans,bolsters,outsmarts,provides,,guides,guides,guides,rescues from,,,,like a,,excels at,guides,clears,resists,,,of the,stays,,bans,,survives,prefers,,,,,,outsmarts,knows no,,stays,,guides
Helicopter,,,,flies over,carries,,faster than,faster than,gets,,,,,flies over,carries,faster than,flies over,flies over,breaks,flies over,,,,,uses,,,causes,,,,flies over,drops,,,,flies over,flies over,,,,has,,,flies over,carries,,imposes,,carries,,,,flies over,,,makes,,,disturbs,flies over,,,flies over,carries,flies over,,,carries,carries,carries,flies over,,,,flies over,,flies over,flies over,,flies over,flies over,,cloud blocks,flies over,,,,flies over,faster than,flies over,flies over,,,,flies over,flies over,,flies over,flies over,carries
Home,has central,cozier than,keeps out,,,contains,pricier than,contains,,contains,contains,requires,contains,,,pricier than,,contains,,,cozier than,blocks,houses,populates,,contains,contains,,envied by,pricier than,blocks,yard has,,,has,in,,contains,pricier than,yard has,contains,,,,,,,,,,,,costs,,blocks,atop,blocks,,contains,,,on,pricier than,,,,,answers,,,,,blocks,blocks,,,denounces,,,,,houses,contains,,,has,,has,,cozier than,yard has,garden has,blocks,blocks,,,,plumbs,,keeps out,
King,breathes,flies on,disbelieves,,sires,drinks,rides,eats,,inspires,eats from,has,eats,,,rides in,,owns,,,funds,looks at,steps on,rules,,erects,drinks from,,,,,eats,,,,inspires,,eats,,walks on,outlaws,,,,taxes,,,,,rules,,,has,,looks at,,outlaws,,writes,,,declares flat,,,governs,,,in,rules over,rules over,rules over,,walks in,looks at,,,,,,,,steps on,owns,,,on,,uses,,rides on,owns,eats,disbelieves,could be,,,,drinks,,tames,rules
Laser,,,,outlcasses,targets,,melts,,cooks,,,,,melts,burns,targets,targets,,starts reaction,outclasses,,,,,backs up,,,causes,,,,fries,outclasses,,,,starts,,,,,-,,targets,targets,targets,,upholds,,targets,,,,fries,,,zap,guides,,disturbs,lights,,,more exact than,helps,fries,,,targets,targets,targets,burns off,,,,burns through,,teaches,melts,traverses,fries,,,has power of,outclasses,,targets,,penetrates,targets,burns through,discintigrates,,,,fries,burns through,,outclasses,fries,targets
Law,,,,ensures safe use of,protects,,ensures safe use of,protects,protects,,,confounds,,puts you in,restricts,protects,protects,protects,,ensures safe use of,,,kills,protects,restricts,respects,,prevents,,,,protects,,,,,restricts,protects,,,,,,,protects,protects,,,,protects,,,costs,protects,,,restricts,,,keeps,,,,restricts,protects,protects,,,protects,protects,protects,,,,,set in stone,,provides,ensures safe use of,,protects,protects rare,cleans like,explains,restricts,,,,,protects,protects,protects,,chases,,protects,protects,,restricts,protects,protects
Lightning,,,,charges,scares,,strikes,,cooks,,,,,charges,challenges,(greased),strikes,,starts reaction,outclasses,,,,,short-circuits,,,causes,,,,,ignites,,,,starts,,,,,charges,,strikes,strikes,strikes,outclasses,has physical,,strikes,,strikes,,strikes,,,makes,short-circuits,,disturbs,creates,,,deadlier than,strikes,strikes,produces,,strikes,strikes,strikes,creates,,,,splits,,strikes,charges,decorates,strikes,,,storm blocks,strikes,,strikes,,envelops,strikes,strikes,,,,,strikes,strikes through,,fries,,strikes
Man,breathes,flies on,disproves,,,drinks,rides,flips,,reads,eats from,has,eats,,,drives,,owns,,,attends,looks at,steps on,lives in,,hangs on,drinks from,,exorcises,mines,slays,eats,,,,watches,,eats,mines,walks on,plays,,,,lives in,,,,,,,,spends,,travels to,climbs,makes,,writes,,,lives on,refines,,,,,in,,,,,plays in,looks at,,,denounces,,,,,steps on,cleans with,,,watches,,uses,,rides on,plants,eats,debunks,becomes,,,,drinks,,tames,
Math,,,,whiz sharper than,confuses,,,,calculates,,,,,mental,shapes,,measures,,uses number,directs,,,,,on,,,transcends,,,,,measures,calculates,,,measures,,,,,test inspires,darkens,navigates,after college at,confuses,formulates,formulates,calculates,confuses,,confuses,,enrages,,,,formulates,,is,helps work out the angles of,,,measures,confuses,counts,brain,,confuses,confuses,confuses,test like,,,navigates,schoolhouse,,bores,guides,class denies,measures,,,calculates,measures,,navigates,,predicts,word problem with,,,,,,test attracts,measures,,whiz sharp as,,confuses
Medusa,,,,weilds,petrifies,,before,,freezes,,,,,escapes,before,before,terrorizes,,breaks,before,,,,,before,,,causes,,,,,before,,,,starts,,,,,before,,evades,terrifies,petrifies,before,breaks,,petrifies,,,,petrifies,,,screeches,before,,disturbs,lives in,,,deadlier than,petrifies,petrifies,craves,,petrifies,petrifies,petrifies,plants,,,,hurls,,terrorizes,runs with,curses,head,,,curses,weilds,,resists,,hides from,before,hides behind,discards,,,,petrifies,hides behind,,cracks,,petrifies
Money,pollutes,bankrupts,doesn't interest,,,imports,,,,funds,fills,,buys,,,,,,,,funds,clears,,,,,fills,,make a man,mines,enthralls,,funds,conducts,repairs,funds,,,is,landscapes,buys,,tricks,funds,,,funds,,vanishes like,,uses,bribes,,,funds trip to,buys,,funds,funds news,,-,conquers,is,,,,brings,answers,,,,debt is,flows like,at the end of,funds,,brings souls to,,,piled up to,,,hires,,,corrupts,funds,fixes,pays for protection from,,,,doesn't interest,bribes,develops,,,floats on,,,
